 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min,Label
52002,83829119,6,10,11607,68,7300,0,1934.5,2863.744245,20,0,6.8,5.006662228,139.2714147,0.190864466,5588607.933,19600000.0,76100000,0,83800000,16800000.0,37500000.0,83800000,187,83800000,9308740.667,25200000.0,76100000,0,0,0,0,0,132,212,0.071574175,0.119290291,0,7300,687.1176471,1861.340239,3464587.485,0,0,0,0,1,1,0,0,1,730.0625,1934.5,6.8,132,0,0,0,0,0,0,6,11607,10,68,229,256,4,20,21046.0,0.0,21046,21046,41900000.0,48400000.0,76100000,7654923,BENIGN
56906,92176133,7,9,11613,62,5840,0,1659.0,2429.621575,20,0,6.888888889,5.30199124,126.6596853,0.173580725,6145075.533,23100000.0,89700000,1,92200000,15400000.0,37100000.0,91200000,2,91100000,11400000.0,31600000.0,89700000,1,0,0,0,0,152,192,0.075941567,0.097639158,0,5840,687.1176471,1707.681172,2916174.985,0,0,0,0,1,1,0,0,1,730.0625,1659.0,6.888888889,152,0,0,0,0,0,0,7,11613,9,62,229,256,5,20,1478152.0,0.0,1478152,1478152,89700000.0,0.0,89700000,89700000,BENIGN
53,31680,2,2,72,146,36,36,36.0,0.0,73,73,73.0,0.0,6881.313131,126.2626263,10560.0,18244.57106,31627,4,49,49.0,0.0,49,49,4,4.0,0.0,4,4,0,0,0,0,40,64,63.13131313,63.13131313,36,73,50.8,20.26573463,410.7,0,0,0,0,0,0,0,0,1,63.5,36.0,73.0,40,0,0,0,0,0,0,2,72,2,146,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
19844,9557528,1,5,6,30,6,6,6.0,0.0,6,6,6.0,0.0,3.766664351,0.627777392,1911505.6,4259295.721,9530756,1,0,0.0,0.0,0,0,9543785,2385946.25,4763210.456,9530756,1,0,0,0,0,20,100,0.104629565,0.523147827,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,5,7.0,6.0,6.0,20,0,0,0,0,0,0,1,6,5,30,229,0,0,20,26772.0,0.0,26772,26772,9530756.0,0.0,9530756,9530756,BENIGN
39808,38,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,52631.57895,38.0,0.0,38,38,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,26315.78947,26315.78947,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,357,329,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,30991,1,1,92,124,92,92,92.0,0.0,124,124,124.0,0.0,6969.765416,64.53486496,30991.0,0.0,30991,30991,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,20,32.26743248,32.26743248,92,124,102.6666667,18.47520861,341.3333333,0,0,0,0,0,0,0,0,1,154.0,92.0,124.0,32,0,0,0,0,0,0,1,92,1,124,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,1456926,3,6,26,11607,20,0,8.666666667,10.26320288,5840,0,1934.5,2538.919278,7984.619672,6.177389929,182115.75,514610.6911,1455712,2,1067,533.5,580.5346674,944,123,1456911,291382.2,650880.3241,1455712,2,0,0,0,0,72,132,2.059129976,4.118259953,0,5840,1163.3,2138.329153,4572451.567,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
53,216,2,2,84,412,42,42,42.0,0.0,206,206,206.0,0.0,2296296.296,18518.51852,72.0,117.7794549,208,4,4,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0,0,0,40,40,9259.259259,9259.259259,42,206,107.6,89.82649943,8068.8,0,0,0,0,0,0,0,0,1,134.5,42.0,206.0,40,0,0,0,0,0,0,2,84,2,412,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,257529,1,1,45,118,45,45,45.0,0.0,118,118,118.0,0.0,632.9384264,7.766115661,257529.0,0.0,257529,257529,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,3.88305783,3.88305783,45,118,69.33333333,42.14656965,1776.333333,0,0,0,0,0,0,0,0,1,104.0,45.0,118.0,32,0,0,0,0,0,0,1,45,1,118,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,34178929,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.058515584,34200000.0,0.0,34200000,34200000,34200000,34200000.0,0.0,34200000,34200000,0,0.0,0.0,0,0,0,0,0,0,64,0,0.058515584,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,410,-1,0,32,0.0,0.0,0,0,34200000.0,0.0,34200000,34200000,DoS
53,30999,2,2,64,120,32,32,32.0,0.0,60,60,60.0,0.0,5935.675344,129.0364205,10333.0,17892.95093,30994,1,1,1.0,0.0,1,1,4,4.0,0.0,4,4,0,0,0,0,64,64,64.51821026,64.51821026,32,60,43.2,15.33623161,235.2,0,0,0,0,0,0,0,0,1,54.0,32.0,60.0,64,0,0,0,0,0,0,2,64,2,120,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,5236337,7,4,635,168,517,0,90.71428571,190.7072051,168,0,42.0,84.0,153.3514745,2.10070513,523633.7,1597317.853,5069103,4,5236337,872722.8333,2093634.588,5146202,4,130268,43422.66667,46463.6721,92554,190,0,0,0,0,232,136,1.336812356,0.763892775,0,517,66.91666667,150.8487854,22755.35606,0,0,0,1,0,0,0,0,0,73.0,90.71428571,42.0,232,0,0,0,0,0,0,7,635,4,168,29200,340,3,32,167230.0,0.0,167230,167230,5069103.0,0.0,5069103,5069103,BENIGN
80,98663827,6,7,398,11595,398,0,66.33333333,162.4828196,5792,0,1656.428571,2118.227235,121.5541741,0.131760549,8221985.583,28500000.0,98600000,1,98600000,19700000.0,44100000.0,98600000,1,36524,6087.333333,9267.673487,19052,51,0,0,0,0,200,232,0.060812561,0.070947988,0,5792,856.6428571,1664.384738,2770176.555,0,0,0,0,1,0,0,0,1,922.5384615,66.33333333,1656.428571,200,0,0,0,0,0,0,6,398,7,11595,274,235,1,32,4.0,0.0,4,4,98600000.0,0.0,98600000,98600000,DoS
80,91774642,9,4,62,11601,20,0,6.888888889,5.30199124,8760,0,2900.25,4128.319301,127.0830345,0.141651329,7647886.833,26200000.0,90800000,0,91800000,11500000.0,32100000.0,90800000,0,45196,15065.33333,25465.77596,44470,190,0,0,0,0,192,92,0.098066305,0.043585024,0,8760,833.5,2402.71381,5773033.654,0,0,0,0,1,0,0,0,0,897.6153846,6.888888889,2900.25,192,0,0,0,0,0,0,9,62,4,11601,256,229,7,20,907134.0,0.0,907134,907134,90800000.0,0.0,90800000,90800000,DDoS
57054,3,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,4000000.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,40,0,666666.6667,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,16384,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,11150,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,1076.233184,179.3721973,11150.0,0.0,11150,11150,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,89.68609865,89.68609865,6,6,6.0,0.0,0.0,1,0,0,0,1,0,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,0,0,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,5608546,3,1,12,0,6,0,4.0,3.464101615,0,0,0.0,0.0,2.139591973,0.713197324,1869515.333,3044279.85,5382324,101,5608546,2804273.0,3645914.689,5382324,226222,0,0.0,0.0,0,0,0,0,0,0,72,32,0.534897993,0.178299331,0,6,2.4,3.286335345,10.8,0,0,0,1,0,0,0,0,0,3.0,4.0,0.0,72,0,0,0,0,0,0,3,12,1,0,8192,4380,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,30952,1,1,43,113,43,43,43.0,0.0,113,113,113.0,0.0,5040.062032,64.61617989,30952.0,0.0,30952,30952,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,32.30808995,32.30808995,43,113,66.33333333,40.41451884,1633.333333,0,0,0,0,0,0,0,0,1,99.5,43.0,113.0,20,0,0,0,0,0,0,1,43,1,113,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,24234,2,2,88,256,44,44,44.0,0.0,128,128,128.0,0.0,14194.93274,165.0573574,8078.0,13946.49207,24182,3,49,49.0,0.0,49,49,3,3.0,0.0,3,3,0,0,0,0,64,40,82.52867872,82.52867872,44,128,77.6,46.00869483,2116.8,0,0,0,0,0,0,0,0,1,97.0,44.0,128.0,64,0,0,0,0,0,0,2,88,2,256,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
3998,52,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,115384.6154,38461.53846,52.0,0.0,52,52,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,19230.76923,19230.76923,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
7911,61,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,98360.65574,32786.88525,61.0,0.0,61,61,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,16393.44262,16393.44262,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
443,5032836,6,4,611,164,517,0,101.8333333,204.3050823,152,0,41.0,74.05403433,153.9887252,1.986951293,559204.0,1634384.406,4917165,4,5032836,1006567.2,2223237.943,4983556,4,91708,30569.33333,33584.95772,66778,438,0,0,0,0,132,92,1.192170776,0.794780517,0,517,70.45454545,154.756818,23949.67273,0,0,0,1,0,0,0,0,0,77.5,101.8333333,41.0,132,0,0,0,0,0,0,6,611,4,164,8192,946,5,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
135,14825481,15,8,898,952,156,0,59.86666667,71.0873373,240,0,119.0,94.28831165,124.7851587,1.551383055,673885.5,3123867.584,14700000,1,14800000,1058962.929,3914672.694,14700000,1,104061,14865.85714,39067.42946,103462,3,0,0,0,0,324,184,1.011771557,0.539611497,0,240,77.08333333,82.73158099,6844.514493,0,0,0,1,0,0,0,0,0,80.43478261,59.86666667,119.0,324,0,0,0,0,0,0,15,898,8,952,8192,2051,13,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,23824,2,2,92,262,46,46,46.0,0.0,131,131,131.0,0.0,14858.96575,167.8979181,7941.333333,13742.66904,23810,3,3,3.0,0.0,3,3,11,11.0,0.0,11,11,0,0,0,0,40,40,83.94895903,83.94895903,46,131,80.0,46.55641739,2167.5,0,0,0,0,0,0,0,0,1,100.0,46.0,131.0,40,0,0,0,0,0,0,2,92,2,262,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,100232809,8,6,732,11595,366,0,91.5,169.4250783,4344,0,1932.5,1754.831473,122.9836829,0.139674824,7710216.077,27700000.0,99900000,0,100000000,14300000.0,37700000.0,99900000,0,359588,71917.6,103024.8533,223010,15,0,0,0,0,264,200,0.079814185,0.059860639,0,4344,821.8,1412.750317,1995863.457,0,0,0,0,1,0,0,0,0,880.5,91.5,1932.5,264,0,0,0,0,0,0,8,732,6,11595,251,235,2,32,5.0,0.0,5,5,99900000.0,0.0,99900000,99900000,DoS
80,99541664,6,7,394,11595,376,0,65.66666667,152.0600758,5792,0,1656.428571,2120.732252,120.4420292,0.13059858,8295138.667,28700000.0,99400000,2,99400000,19900000.0,44400000.0,99400000,2,99500000,16600000.0,40600000.0,99400000,45,0,0,0,0,164,232,0.060276268,0.070322312,0,5792,856.7857143,1665.387374,2773515.104,1,0,0,0,0,0,0,0,1,922.6923077,65.66666667,1656.428571,164,0,0,0,0,0,0,6,394,7,11595,0,235,3,20,15994.0,0.0,15994,15994,99400000.0,0.0,99400000,99400000,DoS
137,1613938,39,0,1950,0,50,50,50.0,0.0,0,0,0.0,0.0,1208.224851,24.16449703,42472.05263,182610.1742,812879,1,1613938,42472.05263,182610.1742,812879,1,0,0.0,0.0,0,0,0,0,0,0,936,0,24.16449703,0.0,50,50,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0,51.28205128,50.0,0.0,936,0,0,0,0,0,0,39,1950,0,0,-1,-1,38,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
20751,3,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,4000000.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,40,0,666666.6667,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,4380,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,85032081,6,6,334,11595,334,0,55.66666667,136.354929,5792,0,1932.5,2181.008184,140.2882284,0.141123207,7730189.182,25600000.0,84800000,1,84900000,17000000.0,37900000.0,84800000,1,183366,36673.2,76401.32586,173131,46,0,0,0,0,200,200,0.070561604,0.070561604,0,5792,917.6153846,1716.504274,2946386.923,0,0,0,0,1,0,0,0,1,994.0833333,55.66666667,1932.5,200,0,0,0,0,0,0,6,334,6,11595,251,235,1,32,4.0,0.0,4,4,84800000.0,0.0,84800000,84800000,DoS
3476,75,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,106666.6667,26666.66667,75.0,0.0,75,75,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,13333.33333,13333.33333,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
53,48548,2,2,80,216,40,40,40.0,0.0,108,108,108.0,0.0,6097.058581,82.39268353,16182.66667,28025.73678,48544,1,1,1.0,0.0,1,1,3,3.0,0.0,3,3,0,0,0,0,64,64,41.19634176,41.19634176,40,108,67.2,37.24513391,1387.2,0,0,0,0,0,0,0,0,1,84.0,40.0,108.0,64,0,0,0,0,0,0,2,80,2,216,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
1091,74,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,108108.1081,27027.02703,74.0,0.0,74,74,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,13513.51351,13513.51351,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
80,8833864,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,3.396022397,0.566003733,2208466.0,4415596.025,8831860,3,8833864,2208466.0,4415596.025,8831860,3,0,0.0,0.0,0,0,0,0,0,0,100,0,0.566003733,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,2004.0,0.0,2004,2004,8831860.0,0.0,8831860,8831860,DDoS
39968,3,2,0,31,0,31,0,15.5,21.92031022,0,0,0.0,0.0,10300000.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,1,0,0,0,64,0,666666.6667,0.0,0,31,20.66666667,17.89785834,320.3333333,0,1,0,0,1,0,0,0,0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,119,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
56737,69,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,115942.029,28985.50725,69.0,0.0,69,69,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,14492.75362,14492.75362,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
3945,34,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,176470.5882,58823.52941,34.0,0.0,34,34,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,29411.76471,29411.76471,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
80,98,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,122448.9796,20408.16327,98.0,0.0,98,98,98,98.0,0.0,98,98,0,0.0,0.0,0,0,0,0,0,0,40,0,20408.16327,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,257,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,3745889,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,8.008779758,1.334796626,936472.25,1872215.904,3744796,1,3745889,936472.25,1872215.904,3744796,1,0,0.0,0.0,0,0,0,0,0,0,100,0,1.334796626,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
53,48035,2,2,68,428,34,34,34.0,0.0,214,214,214.0,0.0,10325.8041,83.27261372,16011.66667,27689.72687,47985,4,46,46.0,0.0,46,46,4,4.0,0.0,4,4,0,0,0,0,40,40,41.63630686,41.63630686,34,214,106.0,98.59006035,9720.0,0,0,0,0,0,0,0,0,1,132.5,34.0,214.0,40,0,0,0,0,0,0,2,68,2,428,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
50714,75,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,160000.0,26666.66667,75.0,0.0,75,75,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,13333.33333,13333.33333,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,119,255,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,732667,3,5,26,11607,20,0,8.666666667,10.26320288,7300,0,2321.4,3346.363967,15877.60879,10.91901232,104666.7143,276008.5578,730595,77,1438,719.0,216.374675,872,566,732590,183147.5,364965.4238,730595,176,0,0,0,0,72,112,4.09462962,6.8243827,0,7300,1292.555556,2662.264877,7087654.278,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
53,23456,1,1,47,63,47,47,47.0,0.0,63,63,63.0,0.0,4689.631651,85.26603001,23456.0,0.0,23456,23456,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,40,42.63301501,42.63301501,47,63,52.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,1,78.5,47.0,63.0,40,0,0,0,0,0,0,1,47,1,63,-1,-1,0,40,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
